(-0.2940128, 0.6001945, 0.1378497)
(-0.2919561, 0.5961307, 0.1357436)
(-0.2883395, 0.5932903, 0.1325296)
(-0.2900684, 0.5961604, 0.1310035)
(-0.2923325, 0.5986221, 0.1316953)
(-0.2916708, 0.594963, 0.1312313)
(-0.289351, 0.590969, 0.1294609)
(-0.288883, 0.5902118, 0.1284771)
(-0.2927204, 0.596436, 0.1302705)
(-0.2958909, 0.5989604, 0.1306598)
(-0.2919617, 0.5932353, 0.1279961)
(-0.2903679, 0.5912638, 0.1265515)
(-0.2949528, 0.5974239, 0.1297112)
(-0.2976776, 0.600873, 0.1296933)
(-0.2939082, 0.5966674, 0.1272563)
(-0.2931533, 0.5960841, 0.12627)
(-0.2903336, 0.5936725, 0.1250063)
(-0.2947529, 0.5935945, 0.1260572)
(-0.2960547, 0.5937399, 0.1234097)
(-0.2922237, 0.5900249, 0.1208815)
(-0.2959258, 0.5939632, 0.1224659)
(-0.2940377, 0.5960399, 0.1221954)
(-0.2930078, 0.5957504, 0.1215291)
(-0.2961016, 0.5990972, 0.1216853)
(-0.2962887, 0.5974958, 0.120352)
(-0.2932659, 0.5947795, 0.1191858)
(-0.292013, 0.5942769, 0.1181991)
(-0.2963663, 0.5982431, 0.1197028)
(-0.2936774, 0.5941179, 0.1179349)
(-0.2927095, 0.5940443, 0.1161797)
(-0.2910824, 0.5911575, 0.1182648)
(-0.2934728, 0.5940813, 0.1195115)
(-0.2977113, 0.5998328, 0.120657)
(-0.2962721, 0.5967083, 0.119803)
(-0.2964144, 0.5970344, 0.11906)
(-0.2937019, 0.5925954, 0.1176496)
(-0.2906093, 0.5875696, 0.1155831)
(-0.291503, 0.5886111, 0.1164024)
(-0.2906149, 0.588883, 0.1142233)
(-0.2931197, 0.5938788, 0.1166607)
(-0.2943302, 0.5951838, 0.1168341)
(-0.2896703, 0.5901635, 0.1146061)
(-0.2876367, 0.5866342, 0.1138599)
(-0.2894639, 0.5884847, 0.1149048)
(-0.2910157, 0.5905276, 0.1163044)
(-0.2968346, 0.5944662, 0.1194771)
(-0.2935107, 0.5899392, 0.117837)
(-0.301325, 0.5977987, 0.1212641)
(-0.3012362, 0.5963077, 0.1224477)
(-0.2993563, 0.5926056, 0.1205786)
(-0.2968872, 0.5873707, 0.1190125)
(-0.29532, 0.5837522, 0.1177571)
(-0.2969389, 0.5851063, 0.1188727)
(-0.3029309, 0.5932839, 0.1221651)
(-0.3049158, 0.5937924, 0.1240642)
(-0.3028445, 0.5932503, 0.1231299)
(-0.3031471, 0.5913033, 0.1235254)
(-0.3016414, 0.5900457, 0.1230883)
(-0.2993527, 0.5876467, 0.1216705)
(-0.2956655, 0.5865116, 0.120317)
(-0.2909536, 0.5832002, 0.1170661)
(-0.2940746, 0.5917375, 0.1199185)
(-0.2934497, 0.5899833, 0.1197826)
(-0.2975526, 0.59413, 0.1223247)
(-0.2968024, 0.5914541, 0.1228455)
(-0.2956958, 0.5895183, 0.1234462)
(-0.2974087, 0.5927549, 0.1235794)
(-0.2911231, 0.5872099, 0.1206709)
(-0.2980402, 0.5963083, 0.1252861)
(-0.2941189, 0.5912154, 0.1239671)
(-0.2951688, 0.5916712, 0.124453)
(-0.2942773, 0.5896072, 0.12448)
(-0.2991545, 0.5958776, 0.1262764)
(-0.3004614, 0.5970042, 0.1268399)
(-0.3008804, 0.5960632, 0.1273085)
(-0.2984865, 0.5936484, 0.1265783)
(-0.2990666, 0.5947919, 0.1269115)
(-0.3042272, 0.6024316, 0.1295534)
(-0.306036, 0.6055385, 0.1304073)
(-0.3026399, 0.6007875, 0.1283391)
(-0.3006902, 0.5975349, 0.1263091)
(-0.2989737, 0.5942725, 0.1247516)
(-0.2962245, 0.5906385, 0.1220992)
(-0.2957762, 0.5932791, 0.1222142)
(-0.2937576, 0.5907569, 0.1199095)
(-0.2971935, 0.5938569, 0.1230978)
(-0.2978401, 0.5950212, 0.1233288)
(-0.2957801, 0.5917213, 0.1205047)
